"DayOfWeek","Date Reported","Date Occurred","Time Occurred","Area ID","Reporting District","MO Codes","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay"
6,2023-08-25 00:00:00,2023-08-25 00:00:00,230,11,1153,"3006 3030 3101 0605 3401 3701 4011 3037 3028 3033",37,"M","H",101,231112652,8,2,0
5,2023-08-04 00:00:00,2023-07-13 00:00:00,750,15,1591,"3004 3028 4026 3030 3033 3035",63,"F","W",101,231513085,7,7,22
6,2023-08-12 00:00:00,2023-08-11 00:00:00,2235,1,142,"3401 3701 3004 0605 3025 3029 3033 3036 3101 4024",61,"M","H",101,230117723,8,22,1
7,2023-08-06 00:00:00,2023-08-05 00:00:00,2250,2,246,"3006 0605 3028 3033 3037 3039 3101 3401 3701 4002",40,"M","H",101,230215058,8,22,1
3,2023-08-08 00:00:00,2023-08-08 00:00:00,100,3,396,"4025 3025 3029 3003",24,"F","H",101,230314669,8,1,0
6,2023-08-11 00:00:00,2023-08-11 00:00:00,1055,3,362,"4025 3037 3028 3101",40,"M","W",101,230314885,8,10,0
6,2023-08-12 00:00:00,2023-08-11 00:00:00,1945,3,333,"4025 3011 3028 3034",57,"F","O",101,230314911,8,19,1
6,2023-08-11 00:00:00,2023-08-11 00:00:00,920,4,441,"0605 3004 3028 3030 4024 3101 3401 3701 3037 3033",47,"F","O",101,230411251,8,9,0
7,2023-08-12 00:00:00,2023-08-12 00:00:00,1145,4,426,"3101 3401 3701 3037 3038 3033 0605 3006 3028 4024",45,"F","H",101,230411274,8,11,0
1,2023-08-04 00:00:00,2023-07-16 00:00:00,1000,8,829,"3024 3035 3037 0947 3101 3401 3701 4027 3004",31,"F","H",102,230812828,7,10,19
7,2023-08-05 00:00:00,2023-08-05 00:00:00,1235,9,938,"3101 3004 3025 4026 3034 3036",70,"F","H",101,230912628,8,12,0
1,2023-08-06 00:00:00,2023-08-06 00:00:00,1700,9,933,"3004 3026 4009 3034 3037 3602 3101",99,"F","H",101,230912653,8,17,0
6,2023-08-04 00:00:00,2023-08-04 00:00:00,850,10,1041,"3006 3028 4026 3037 3039 3101",23,"M","W",101,231012096,8,8,0
6,2023-08-04 00:00:00,2023-08-04 00:00:00,1525,10,1007,"3011 3028 4026 3030 3034 3037 3101",22,"M","O",102,231012104,8,15,0
6,2023-08-05 00:00:00,2023-08-04 00:00:00,2335,10,1089,"3101 3004 3028 4026 3030 3034 3037",33,"M","B",101,231012115,8,23,1
7,2023-08-05 00:00:00,2023-08-05 00:00:00,549,10,1009,"3101 3011 3025 4026 3034 3037",99,"F","H",101,231012127,8,5,0
1,2023-08-09 00:00:00,2023-08-06 00:00:00,100,10,1079,"3004 4010 3037 3034 3028 3030 3101",21,"M","H",101,231012253,8,1,3
1,2023-08-07 00:00:00,2023-08-06 00:00:00,2355,11,1141,"0605 3008 3025 3101 4011 3401 3701 3036 3033 3035",59,"M","W",101,231111943,8,23,1
5,2023-08-07 00:00:00,2023-07-27 00:00:00,1845,11,1176,"3004 3026 3029 3033 3101 0605 3401 3701 4011 3036",64,"F","H",101,231111962,7,18,11
1,2023-08-11 00:00:00,2023-07-30 00:00:00,1055,11,1118,"0605 3008 3024 3035 3037 3101 4024 3401 3701 3033",34,"M","W",101,231112097,7,10,12
6,2023-08-11 00:00:00,2023-08-11 00:00:00,1515,11,1134,"3401 3701 3034 0605 3004 3028 3033 3037 3101 4024",22,"F","H",101,231112116,8,15,0
2,2023-07-31 00:00:00,2023-07-31 00:00:00,800,12,1251,"3004 3028 4025 3034",64,"M","B",101,231216728,7,8,0
1,2023-08-06 00:00:00,2023-08-06 00:00:00,500,12,1218,"3037 3006 3028 3030 3101",40,"M","B",101,231217136,8,5,0
3,2023-08-09 00:00:00,2023-08-08 00:00:00,1355,12,1251,"4025 3004 3025",29,"F","F",101,231217342,8,13,1
5,2023-08-11 00:00:00,2023-08-10 00:00:00,1905,12,1241,"3004 3028 4012 3030 3036",44,"F","H",101,231217445,8,19,1
6,2023-08-11 00:00:00,2023-08-11 00:00:00,1925,12,1249,"3004 3026 4025",25,"F","H",101,231217479,8,19,0
1,2023-08-08 00:00:00,2023-08-06 00:00:00,2050,15,1538,"3004 3028 4015 3030 3037 3039 3602 3101",28,"M","O",101,231513246,8,20,2
6,2023-08-04 00:00:00,2023-08-04 00:00:00,740,16,1623,"3028 4026 3034 3037 3004 3101",49,"M","H",101,231610764,8,7,0
7,2023-08-05 00:00:00,2023-08-05 00:00:00,1244,16,1675,"3101 3004 3026 4026 3034 3037",64,"M","H",101,231610791,8,12,0
7,2023-08-12 00:00:00,2023-08-12 00:00:00,1325,16,1651,"3101 3009 3024 4026 3037",52,"M","W",101,231611006,8,13,0
6,2023-08-11 00:00:00,2023-08-11 00:00:00,2005,17,1785,"3101 3003 3024 4026 3036 1218",61,"M","W",101,231713808,8,20,0
3,2023-08-10 00:00:00,2023-08-08 00:00:00,505,18,1846,"3037 3028 3030 3101",57,"M","H",101,231814760,8,5,2
3,2023-07-26 00:00:00,2023-07-25 00:00:00,2140,19,1998,"3101 3028 3037 4019 3003",48,"M","H",101,231912093,7,21,1
6,2023-08-04 00:00:00,2023-08-04 00:00:00,1845,19,1971,"3028 4026 3034 3037 3006 3602 3101",53,"M","B",101,231912458,8,18,0
3,2023-07-26 00:00:00,2023-07-25 00:00:00,2120,20,2054,"3101 3401 3701 1402 3004 3026 3035 3037 3038 4020",26,"M","A",101,232013271,7,21,1
7,2023-08-05 00:00:00,2023-08-05 00:00:00,1615,21,2158,"3004 3026 4026 3037 3101",50,"M","B",101,232112545,8,16,0
1,2023-08-13 00:00:00,2023-08-13 00:00:00,1305,18,1821,"3003 3026 3029 4025",64,"M","B",101,231814965,8,13,0
2,2023-08-14 00:00:00,2023-08-14 00:00:00,110,1,151,"0605 3004 3028 3033 3036 3039 3101 4024 3401 3701",58,"M","W",101,230117825,8,1,0
7,2023-07-15 00:00:00,2023-07-15 00:00:00,840,11,1119,"0605 3030 4024",25,"M","H",101,231112316,7,8,0
7,2023-08-13 00:00:00,2023-08-12 00:00:00,2035,3,321,"3009 3024 3036 4025",34,"M","H",101,230314950,8,20,1
1,2023-08-13 00:00:00,2023-08-13 00:00:00,1650,14,1453,"3026 3037 3101 3401 3701 3006 4027 3039 3035",67,"F","H",101,231415714,8,16,0
4,2023-08-17 00:00:00,2023-08-16 00:00:00,1000,2,275,"3004 3026 3101",32,"F","W",101,230215605,8,10,1
1,2023-08-13 00:00:00,2023-08-13 00:00:00,30,4,451,"3101 3401 3701 3036 3034 0605 3004 3026 3029 4024",31,"M","O",101,230411296,8,0,0
5,2023-08-18 00:00:00,2023-08-17 00:00:00,2100,12,1251,"3004 3028 4012 3039",40,"F","O",101,231217848,8,21,1
4,2023-08-16 00:00:00,2023-08-16 00:00:00,900,7,773,"3036 3101 3401 3701 3002 3004 3025 3034 4027",29,"M","B",101,230713361,8,9,0
6,2023-08-17 00:00:00,2023-06-09 00:00:00,845,18,1805,"3004 3028 4025",50,"M","H",101,231815132,6,8,69
3,2023-08-16 00:00:00,2023-08-15 00:00:00,2035,16,1637,"3004 3028 4026 3033 3035 3036 3039",28,"M","H",101,231611117,8,20,1
1,2023-08-14 00:00:00,2023-08-13 00:00:00,2240,13,1361,"0605 3004 3028 3030 3033 3036 3101 4024 3401 3701",24,"M","B",101,231315554,8,22,1
2,2023-08-15 00:00:00,2023-08-14 00:00:00,2325,18,1824,"4025 3004 3024",29,"M","H",101,231815016,8,23,1
3,2023-08-16 00:00:00,2023-08-15 00:00:00,1930,10,1037,"3004 3011 3026 3035 3037 4010",25,"M","O",101,231012602,8,19,1
2,2023-08-14 00:00:00,2023-08-14 00:00:00,1330,7,719,"3028 4027 3009 3034 3037 3101 3401 3701 3002",45,"M","B",101,230713267,8,13,0
4,2023-08-17 00:00:00,2023-08-16 00:00:00,2320,21,2175,"3004 3025 4021 3029 3033 3035 3037",38,"M","W",101,232112957,8,23,1
2,2023-08-14 00:00:00,2023-08-14 00:00:00,1320,1,119,"4024 3037 3004 3026 3101 3029",20,"M","H",101,230117868,8,13,0
3,2023-08-15 00:00:00,2023-08-15 00:00:00,808,10,1043,"4026",35,"M","W",101,231012573,8,8,0
1,2023-08-14 00:00:00,2023-08-13 00:00:00,40,3,377,"3004 3030 3039 4003",54,"M","H",101,230315010,8,0,1
2,2023-08-14 00:00:00,2023-08-14 00:00:00,200,13,1313,"0605 3003 3026 3029 3033 3101 4024 3401 3701 3036",38,"M","H",101,231315570,8,2,0
2,2023-08-14 00:00:00,2023-08-14 00:00:00,1615,18,1891,"3027 3004 4025 3602",75,"M","H",101,231814998,8,16,0
5,2023-08-10 00:00:00,2023-08-10 00:00:00,1440,13,1313,"0605 3401 3701 3036 3033 3004 3026 3029 3101 4024",45,"M","H",101,231315382,8,14,0
1,2023-08-07 00:00:00,2023-08-06 00:00:00,125,17,1792,"3006 4026 3030 3037 3028 3101",45,"M","W",101,231713584,8,1,1
1,2023-08-13 00:00:00,2023-08-13 00:00:00,2010,5,525,"1402 3003 3024 3029 3034 4025",25,"M","W",101,230512234,8,20,0
4,2023-08-16 00:00:00,2023-08-16 00:00:00,645,12,1205,"4025 3004 3034 3026",41,"M","H",101,231217743,8,6,0
5,2023-08-17 00:00:00,2023-08-17 00:00:00,810,10,1039,"3005 3026 3029 3033 3035 3037 4026",38,"M","W",101,231012638,8,8,0
7,2023-08-07 00:00:00,2023-08-05 00:00:00,2325,12,1259,"3037 3004 3030 3101",57,"F","H",101,231217165,8,23,2
5,2023-08-15 00:00:00,2023-08-10 00:00:00,2240,7,725,"3004 3028 3035 3036 3101 3401 3701 4007",23,"F","X",101,230713306,8,22,5
6,2023-08-11 00:00:00,2023-08-11 00:00:00,1922,16,1664,"1402 4026",48,"M","H",101,231610997,8,19,0
5,2023-08-15 00:00:00,2023-08-10 00:00:00,2050,12,1257,"3006 3003 3026 3034 3038 4025",99,"M","O",101,231217645,8,20,5
1,2023-08-15 00:00:00,2023-07-30 00:00:00,1755,17,1785,"3004 3028 4026 3033 3030 3035",36,"F","H",101,231713894,7,17,16
3,2023-08-16 00:00:00,2023-08-15 00:00:00,1904,10,1078,"3006 3028 3030 3035 3037 4017",85,"M","O",101,231012595,8,19,1
5,2023-08-10 00:00:00,2023-08-10 00:00:00,1350,18,1822,"3009 3024 3036 4025 3602",22,"M","B",101,231814800,8,13,0
2,2023-08-14 00:00:00,2023-08-14 00:00:00,1230,13,1361,"4024 3037 3003 3025 3101 3029 0605 3401 3701 3033",20,"F","H",101,231315584,8,12,0
2,2023-08-15 00:00:00,2023-08-14 00:00:00,2205,3,395,"3002 3011 3028 3032 3034 4025",70,"M","H",101,230315059,8,22,1
3,2023-08-15 00:00:00,2023-08-15 00:00:00,1815,3,333,"4025 3004 3026 3034 3036 3602",23,"M","H",101,230315089,8,18,0
5,2023-08-17 00:00:00,2023-03-23 00:00:00,2030,12,1293,"3004 3030",39,"F","B",101,231217812,3,20,147
7,2023-08-19 00:00:00,2023-08-19 00:00:00,940,3,392,"3004 3026 3034 4025",27,"M","H",101,230315306,8,9,0
7,2023-08-13 00:00:00,2023-08-12 00:00:00,1515,13,1346,"0605 4024",26,"M","H",108,231315528,8,15,1
6,2023-08-11 00:00:00,2023-07-21 00:00:00,1200,6,647,"3004 3028 3030 3032 3035 3037 4027",51,"F","H",108,230613713,7,12,21
2,2023-07-24 00:00:00,2023-07-24 00:00:00,1815,2,251,"0604 3030 4024",23,"F","H",101,230215473,7,18,0
4,2023-08-17 00:00:00,2023-08-16 00:00:00,1440,18,1802,"3004 3026 3029 4025",70,"M","B",101,231815112,8,14,1
1,2023-08-13 00:00:00,2023-08-13 00:00:00,1720,8,816,"3035 3101 3401 3701 3037 3006 3028 4027",22,"F","O",101,230813233,8,17,0
4,2023-08-16 00:00:00,2023-08-16 00:00:00,1,14,1402,"4024 3036 3004 3028",27,"M","W",101,231415821,8,0,0
5,2023-08-11 00:00:00,2023-08-10 00:00:00,2200,11,1173,"0605 3037 3101 4024 3401 3701 3006 3028 3030 3033",27,"M","H",101,231112086,8,22,1
7,2023-08-15 00:00:00,2023-08-12 00:00:00,150,7,783,"3011 3028 3034 3037 3101 3401 3701 4007",23,"X","X",102,230713294,8,1,3
2,2023-08-14 00:00:00,2023-08-14 00:00:00,1510,1,111,"0605 3008 3026 3029 3033 3037 3101 4024 3401 3701",31,"M","H",101,230117886,8,15,0
4,2023-08-17 00:00:00,2023-08-16 00:00:00,155,20,2019,"2004 4027 3011 3025 3032 3037 3039 3101 3401 3701",50,"M","O",101,232014217,8,1,1
3,2023-08-16 00:00:00,2023-08-15 00:00:00,2300,12,1269,"3006 3028 4012 3039",45,"M","H",101,231217715,8,23,1
