"DayOfWeek","Area ID","Reporting District","Victim Age","Victim Sex","Victim Descent","Premise Code","DR Number","MonthOccurred","HourOccurred","ReportingDelay","InjuryStatus","AtIntersection ","CollisionType"
6,11,1153,37,"M","H",101,231112652,8,2,0,"0 - No Injury","No","Veh vs Parked Veh"
5,15,1591,63,"F","W",101,231513085,7,7,22,"0 - No Injury","Unknown","Veh vs Veh"
6,1,142,61,"M","H",101,230117723,8,22,1,"1 - Injury","Yes","Veh vs Veh"
7,2,246,40,"M","H",101,230215058,8,22,1,"0 - No Injury","No","Veh vs Parked Veh"
5,4,421,37,"M","B",101,230411228,8,8,0,"1 - Injury","Yes","Veh vs Ped"
6,4,441,47,"F","O",101,230411251,8,9,0,"0 - No Injury","No","Veh vs Veh"
6,4,471,23,"M","O",108,230411271,8,13,1,"0 - No Injury","Unknown","Unknown"
7,4,426,45,"F","H",101,230411274,8,11,0,"0 - No Injury","No","Veh vs Parked Veh"
4,6,636,44,"M","O",101,230613647,8,23,1,"1 - Injury","Yes","Veh vs Bike"
1,8,829,31,"F","H",102,230812828,7,10,19,"1 - Injury","No","Veh vs Veh"
7,9,938,70,"F","H",101,230912628,8,12,0,"1 - Injury","Yes","Veh vs Veh"
7,9,916,30,"F","H",101,230912644,8,22,1,"1 - Injury","No","Veh vs Parked Veh"
1,9,974,21,"M","H",108,230912645,8,1,0,"1 - Injury","No","Veh vs Ped"
1,9,933,99,"F","H",101,230912653,8,17,0,"1 - Injury","No","Veh vs Veh"
6,9,957,51,"F","H",101,230912858,8,12,0,"1 - Injury","Yes","Veh vs Veh"
6,10,1041,23,"M","W",101,231012096,8,8,0,"0 - No Injury","No","Veh vs Parked Veh"
6,10,1007,22,"M","O",102,231012104,8,15,0,"0 - No Injury","No","Veh vs Fixed Object"
6,10,1089,33,"M","B",101,231012115,8,23,1,"0 - No Injury","No","Veh vs Veh"
7,10,1009,99,"F","H",101,231012127,8,5,0,"1 - Injury","No","Veh vs Fixed Object"
7,10,1001,22,"M","B",101,231012151,8,13,0,"1 - Injury","No","Veh vs Ped"
1,10,1008,42,"M","W",707,231012158,8,10,0,"0 - No Injury","No","Veh vs Other Object"
1,10,1079,21,"M","H",101,231012253,8,1,3,"0 - No Injury","No","Veh vs Veh"
4,10,1029,57,"F","H",101,231012369,8,11,0,"1 - Injury","Yes","Veh vs Veh"
7,10,1028,67,"M","O",101,231012487,8,10,0,"1 - Injury","No","Veh vs Veh"
1,11,1141,59,"M","W",101,231111943,8,23,1,"1 - Injury","Yes","Veh vs Bike"
5,11,1176,64,"F","H",101,231111962,7,18,11,"1 - Injury","Yes","Veh vs Veh"
3,11,1151,27,"M","W",101,231112025,8,0,1,"0 - No Injury","No","Veh vs Veh"
1,11,1118,34,"M","W",101,231112097,7,10,12,"1 - Injury","No","Veh vs Bike"
6,11,1134,22,"F","H",101,231112116,8,15,0,"0 - No Injury","No","Veh vs Veh"
5,12,1241,44,"F","H",101,231217445,8,19,1,"0 - No Injury","Yes","Veh vs Veh"
6,12,1266,40,"M","H",101,231217469,8,11,0,"0 - No Injury","No","Veh vs Veh"
2,13,1303,32,"M","B",101,231315273,8,15,1,"1 - Injury","No","Veh vs Ped"
5,13,1317,99,"M","W",101,231315406,8,20,1,"0 - No Injury","Yes","Veh vs Fixed Object"
6,13,1363,23,"M","B",101,231315449,8,18,0,"1 - Injury","Yes","Unknown"
7,13,1352,41,"F","H",101,231315463,8,0,0,"0 - No Injury","No","Veh vs Parked Veh"
1,15,1511,25,"M","H",101,231513188,8,16,0,"1 - Injury","No","Veh vs Veh"
2,15,1513,51,"M","O",101,231513236,8,12,0,"0 - No Injury","Unknown","Veh vs Veh"
1,15,1538,28,"M","O",101,231513246,8,20,2,"0 - No Injury","No","Veh vs Veh"
6,16,1623,49,"M","H",101,231610764,8,7,0,"0 - No Injury","No","Veh vs Veh"
7,16,1675,64,"M","H",101,231610791,8,12,0,"1 - Injury","No","Veh vs Veh"
1,16,1621,22,"M","H",101,231610824,8,20,0,"1 - Injury","No","Veh vs Veh"
7,16,1651,52,"M","W",101,231611006,8,13,0,"1 - Injury","No","Veh vs M/C"
6,17,1785,61,"M","W",101,231713808,8,20,0,"1 - Injury","Yes","Veh vs Ped"
3,19,1998,48,"M","H",101,231912093,7,21,1,"0 - No Injury","No","Veh vs Ped"
6,19,1971,53,"M","B",101,231912458,8,18,0,"0 - No Injury","No","Veh vs Parked Veh"
3,20,2054,26,"M","A",101,232013271,7,21,1,"1 - Injury","No","Veh vs Veh"
7,21,2158,50,"M","B",101,232112545,8,16,0,"1 - Injury","No","Veh vs Veh"
5,13,1317,40,"M","H",101,231315783,8,19,0,"0 - No Injury","No","Veh vs Parked Veh"
5,21,2103,28,"F","W",101,232112985,8,8,0,"1 - Injury","Yes","Veh vs Veh"
2,1,151,58,"M","W",101,230117825,8,1,0,"0 - No Injury","Yes","Veh vs Veh"
7,3,396,42,"F","B",101,230314949,8,18,1,"1 - Injury","Unknown","Veh vs Veh"
2,20,2035,18,"M","H",101,232014113,8,14,1,"1 - Injury","Yes","Unknown"
1,14,1453,67,"F","H",101,231415714,8,16,0,"1 - Injury","No","Veh vs Parked Veh"
6,13,1385,27,"M","H",101,231315408,8,22,0,"1 - Injury","Yes","Veh vs Veh"
1,4,451,31,"M","O",101,230411296,8,0,0,"1 - Injury","Yes","Veh vs Veh"
4,7,773,29,"M","B",101,230713361,8,9,0,"1 - Injury","Yes","Veh vs Veh"
2,3,376,39,"F","H",101,230315024,8,8,0,"0 - No Injury","Unknown","Veh vs Veh"
3,16,1637,28,"M","H",101,231611117,8,20,1,"0 - No Injury","Yes","Veh vs Veh"
1,13,1361,24,"M","B",101,231315554,8,22,1,"0 - No Injury","Yes","Veh vs Veh"
3,10,1037,25,"M","O",101,231012602,8,19,1,"1 - Injury","No","Veh vs Veh"
2,7,719,45,"M","B",101,230713267,8,13,0,"0 - No Injury","No","Veh vs M/C"
4,21,2175,38,"M","W",101,232112957,8,23,1,"1 - Injury","No","Veh vs Veh"
6,19,1955,45,"M","H",101,231912459,8,16,0,"1 - Injury","Yes","Veh vs Veh"
2,7,763,29,"F","H",101,230713008,8,15,0,"1 - Injury","Yes","Veh vs Ped"
2,13,1313,38,"M","H",101,231315570,8,2,0,"1 - Injury","Yes","Veh vs Ped"
3,3,334,58,"M","O",101,230315085,8,14,0,"0 - No Injury","Unknown","Veh vs Parked Veh"
5,13,1313,45,"M","H",101,231315382,8,14,0,"1 - Injury","Yes","Veh vs Veh"
1,17,1792,45,"M","W",101,231713584,8,1,1,"0 - No Injury","No","Veh vs Parked Veh"
1,5,525,25,"M","W",101,230512234,8,20,0,"1 - Injury","Unknown","Veh vs Ped"
5,7,725,23,"F","X",101,230713306,8,22,5,"0 - No Injury","Yes","Veh vs Veh"
5,12,1257,99,"M","O",101,231217645,8,20,5,"1 - Injury","Unknown","Veh vs Ped"
1,17,1785,36,"F","H",101,231713894,7,17,16,"0 - No Injury","Unknown","Veh vs Veh"
3,10,1078,85,"M","O",101,231012595,8,19,1,"0 - No Injury","No","Veh vs Parked Veh"
5,18,1822,22,"M","B",101,231814800,8,13,0,"1 - Injury","Yes","Veh vs M/C"
2,13,1361,20,"F","H",101,231315584,8,12,0,"1 - Injury","No","Veh vs Ped"
2,3,395,70,"M","H",101,230315059,8,22,1,"0 - No Injury","Unknown","Veh vs Fixed Object"
3,3,333,23,"M","H",101,230315089,8,18,0,"1 - Injury","Yes","Veh vs Veh"
6,6,647,51,"F","H",108,230613713,7,12,21,"0 - No Injury","No","Veh vs Veh"
4,7,776,23,"X","X",102,230713134,8,23,6,"1 - Injury","Yes","Veh vs Fixed Object"
1,8,816,22,"F","O",101,230813233,8,17,0,"0 - No Injury","No","Veh vs Parked Veh"
5,11,1173,27,"M","H",101,231112086,8,22,1,"0 - No Injury","No","Veh vs Parked Veh"
7,7,783,23,"X","X",102,230713294,8,1,3,"0 - No Injury","No","Veh vs Fixed Object"
2,1,111,31,"M","H",101,230117886,8,15,0,"1 - Injury","No","Veh vs Bike"
4,20,2019,50,"M","O",101,232014217,8,1,1,"1 - Injury","No","Veh vs Fixed Object"
2,10,1001,83,"M","W",101,231012575,8,18,1,"0 - No Injury","Unknown","Unknown"
5,13,1362,22,"X","X",101,231315368,8,4,0,"0 - No Injury","No","Veh vs Fixed Object"
4,10,1004,45,"M","W",101,231012625,8,17,0,"0 - No Injury","Yes","Veh vs Veh"
1,20,2036,32,"F","W",101,232014048,7,20,36,"0 - No Injury","No","Veh vs Veh"
2,13,1347,99,"M","O",101,231315625,8,16,0,"0 - No Injury","No","Veh vs Fixed Object"
1,13,1341,48,"M","H",101,231315546,8,16,0,"0 - No Injury","No","Veh vs Parked Veh"
7,12,1267,37,"F","B",101,231217105,8,21,1,"1 - Injury","Yes","Veh vs Ped"
6,6,635,26,"F","B",101,230613710,7,17,14,"0 - No Injury","No","Veh vs Veh"
6,20,2029,41,"M","B",101,232014002,8,20,1,"1 - Injury","No","Veh vs Ped"
2,15,1565,22,"M","O",101,231513470,8,21,6,"0 - No Injury","Unknown","Veh vs Parked Veh"
3,14,1414,20,"M","X",101,231415635,8,20,10,"1 - Injury","Yes","Veh vs Bike"
2,2,219,31,"F","B",101,230215395,8,13,0,"1 - Injury","No","Unknown"
3,8,885,47,"F","W",101,230813244,5,17,83,"0 - No Injury","No","Veh vs Veh"
4,15,1555,53,"M","B",101,231513634,8,23,0,"1 - Injury","Unknown","Veh vs Fixed Object"
4,18,1801,52,"M","H",101,231815108,8,19,1,"1 - Injury","Unknown","Veh vs Veh"
7,13,1323,29,"M","H",101,231315504,8,18,0,"1 - Injury","No","Veh vs Veh"
2,14,1476,54,"M","H",101,231415740,8,9,0,"0 - No Injury","No","Veh vs Parked Veh"
3,1,166,57,"M","B",101,230117917,8,1,0,"1 - Injury","Yes","Veh vs Bike"
5,16,1684,24,"F","W",101,231610724,8,11,0,"1 - Injury","Yes","Veh vs Veh"
5,19,1944,99,"M","O",101,231912933,8,8,0,"0 - No Injury","Yes","Veh vs Fixed Object"
2,20,2011,23,"X","X",102,232014104,8,2,1,"1 - Injury","No","Veh vs Fixed Object"
2,13,1373,61,"F","H",101,231315631,8,20,0,"1 - Injury","No","Veh vs Veh"
4,21,2169,52,"F","W",101,232112839,8,16,11,"1 - Injury","No","Veh vs Veh"
4,10,1049,27,"M","H",101,231012608,8,8,0,"1 - Injury","Unknown","Veh vs Veh"
3,10,1015,52,"F","W",101,241006562,8,8,217,"0 - No Injury","Unknown","Veh vs Veh"
1,4,479,46,"M","H",101,230411306,8,12,0,"0 - No Injury","No","Veh vs Parked Veh"
2,2,295,51,"M","H",101,230215148,8,19,0,"0 - No Injury","No","Veh vs Veh"
5,6,646,28,"M","W",101,230613686,8,0,1,"1 - Injury","Unknown","Veh vs Veh"
5,8,881,25,"F","H",101,230813078,8,20,0,"1 - Injury","No","Veh vs Ped"
3,21,2139,29,"F","H",101,242106793,8,10,210,"0 - No Injury","Unknown","Veh vs Parked Veh"
1,17,1727,48,"M","W",101,231714130,8,14,2,"0 - No Injury","No","Veh vs Fixed Object"
3,1,159,23,"M","H",101,230117927,8,13,0,"0 - No Injury","No","Unknown"
5,1,192,60,"M","H",101,230118080,8,11,0,"0 - No Injury","No","Veh vs Veh"
1,13,1372,99,"M","W",101,231315518,8,5,0,"0 - No Injury","No","Veh vs Fixed Object"
7,14,1462,21,"M","W",101,231416005,8,1,0,"0 - No Injury","Yes","Veh vs Veh"
4,19,1995,26,"F","H",101,231912814,8,14,5,"0 - No Injury","No","Veh vs Veh"
7,20,2044,23,"F","A",101,232014123,8,12,3,"1 - Injury","No","Veh vs Veh"
2,8,805,39,"F","H",101,230816834,11,18,1,"1 - Injury","No","Veh vs Veh"
1,17,1793,65,"F","H",101,231708633,4,15,9,"1 - Injury","No","Veh vs Ped"
2,20,2001,30,"F","W",101,232019039,12,16,0,"1 - Injury","No","Veh vs M/C"
4,20,2002,33,"F","B",101,232019116,12,2,0,"1 - Injury","No","Veh vs Bike"
3,1,101,43,"M","B",101,230118358,8,15,0,"0 - No Injury","Yes","Veh vs Veh"
7,3,378,35,"M","B",101,230304667,1,22,0,"1 - Injury","Unknown","Veh vs Ped"
2,1,185,63,"M","H",101,230104991,1,8,0,"1 - Injury","Yes","Veh vs Ped"
